,Equal Weight  (Rolling 36m),Equal Weight  (Expanding),Min Volatility  (Rolling 36m),Min Volatility  (Expanding),Max Diversification  (Rolling 36m),Max Diversification  (Expanding)
2005-04-30,1.3928447144486396,1.3928447144486396,1.1773342575218264,1.2027669532613676,1.2197359102417207,1.2559442036927138
2005-05-31,1.4186189400784146,1.4186189400784146,1.1993032340405798,1.2243679334252895,1.2412035912443293,1.2780263825995832
2005-06-30,1.447056364864779,1.447056364864779,1.213473873075064,1.2431986901628416,1.2590903485578053,1.2997817941028753
2005-07-31,1.4972231275947432,1.4972231275947432,1.2226182932167184,1.2536272323693771,1.2825920199403562,1.323276591097862
2005-08-31,1.505601370072122,1.505601370072122,1.2301051814522315,1.2597398618869118,1.2940409766093426,1.3317654670051604
2005-09-30,1.530321394214389,1.530321394214389,1.246496955922008,1.2765364008636957,1.3147107001410279,1.3517536742406138
2005-10-31,1.480386365617765,1.480386365617765,1.2143751512277894,1.2436457655791504,1.273874528407339,1.3126678338568518
2005-11-30,1.511130690836127,1.511130690836127,1.2264578498485137,1.2520421992244986,1.2920472392434248,1.3277108479522923
2005-12-31,1.5273268814081387,1.5273268814081387,1.2365789503694404,1.264815361659966,1.3056588144059245,1.3420447771421269
2006-01-31,1.5738005305072313,1.5738005305072313,1.2530067716811666,1.2838051099766263,1.3331716788266301,1.369485626851602
2006-02-28,1.5540863356707142,1.5540863356707142,1.2421861962415526,1.2677919094541388,1.3143665756882568,1.350786800014242
2006-03-31,1.583228762888535,1.583228762888535,1.243986382928476,1.2702385773491407,1.3276316292092583,1.3619872675011542
2006-04-30,1.5923081975493505,1.5923081975493505,1.2416177076448687,1.2649194542396593,1.3348727023016307,1.3628459289598838
2006-05-31,1.5691593698229773,1.5691593698229773,1.2245001609748183,1.2538726434442697,1.3196350206808887,1.3486276087317326
2006-06-30,1.5849393810105339,1.5849393810105339,1.2268505618386054,1.258259180947736,1.3248100337491093,1.355964852191178
2006-07-31,1.6138018485497176,1.6138018485497176,1.2350720237918238,1.2708189178127056,1.3428182905479213,1.3742011200608215
2006-08-31,1.629711278876055,1.629711278876055,1.2567457295570001,1.288353596232762,1.3559090436212817,1.389550496556262
2006-09-30,1.6292141431511449,1.6292141431511449,1.2751624453052637,1.2981008957197353,1.3585132464744671,1.39365268548594
2006-10-31,1.6856696466042367,1.6856696466042367,1.2916256345122543,1.3182438063188977,1.3908035157588938,1.4256819659330582
2006-11-30,1.741022876832535,1.741022876832535,1.3152595414489539,1.3464535828068982,1.4264237932626198,1.462964516814878
2006-12-31,1.7223132932371,1.7223132932371,1.3217984967677672,1.3459670640252275,1.4199933635334583,1.4552539257413657
2007-01-31,1.7592064996471595,1.7592064996471595,1.3173228894836746,1.3425720638559984,1.423414101464139,1.4637853997010888
2007-02-28,1.7561227117983378,1.7561227117983378,1.3183644538696708,1.3486488358301942,1.4261026433997739,1.468109557133314
2007-03-31,1.7604831840532393,1.7604831840532393,1.3369953211762384,1.3654150394336508,1.4417815866085828,1.4809704887696802
2007-04-30,1.7801549598117907,1.7801549598117907,1.3488061242530818,1.3692253367804528,1.4559928270859535,1.4893350539600299
2007-05-31,1.7931112309175874,1.7931112309175874,1.3590534939548229,1.3745522558996166,1.4636781254810574,1.4965059568634163
2007-06-30,1.7264846947862724,1.7264846947862724,1.3302089665546661,1.3399404533200294,1.4229005906302967,1.4527031214153348
2007-07-31,1.6916714234685166,1.6916714234685166,1.3340306164663345,1.3439385428468689,1.416735690829866,1.4455081855501895
